"filename", "language", "TypeScript", "TypeScript JSX", "HTML", "PostCSS", "Python", "JSON", "Markdown", "pip requirements", "JavaScript", "MS SQL", "PHP", "JSON with Comments", "comment", "blank", "total"
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/.tmp_frontend_flat_v1.8.72/index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 11
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/index.html", "HTML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/package.json", "JSON", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/App.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/Attributions.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/ORDERS_TAB_IMPROVEMENTS.md", "Markdown", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 35, 153
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/ORDERS_TAB_IMPROVEMENTS_V2.md", "Markdown", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 30, 144
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/OrdersTabDemo.tsx", "TypeScript JSX", 0, 696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 33, 748
"/Users/diggleda/Library/Mobile Documents/com~apple~CloudDocs/Protixa/PepPro App/Order tab/src/components/CategoryFilter.tsx", "TypeScript JSX", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 171
